        25.4    0.0723122    -0.704399    -0.362959
        25.6    0.0731345    -0.695024    -0.366492
        25.8    0.0738635    -0.685644    -0.370012
          26    0.0743645    -0.676253    -0.373506
        26.2     0.074731    -0.666858    -0.376985
        26.4    0.0749629    -0.657459     -0.38045
        26.6    0.0748961    -0.648051    -0.383883
        26.8    0.0746887     -0.63864    -0.387301
          27    0.0743407    -0.629228    -0.390701
        27.2    0.0737409    -0.619814    -0.394067
        27.4    0.0730297    -0.610401    -0.397414
        27.6    0.0722072    -0.600989    -0.400743
        27.8    0.0711914    -0.591583    -0.404033
          28    0.0700936    -0.582182    -0.407302
        28.2    0.0689137    -0.572785    -0.410552
        28.4     0.067599    -0.563402    -0.413758
        28.6    0.0662315    -0.554027    -0.416943
        28.8    0.0648113     -0.54466    -0.420106
          29    0.0633099    -0.535316    -0.423223
        29.2      0.06177     -0.52599    -0.426319
        29.4    0.0601916    -0.516684    -0.429395
        29.6    0.0585356    -0.507432    -0.432434
        29.8    0.0568404    -0.498216    -0.435458
          30    0.0551061    -0.489036    -0.438465
        30.2    0.0532929    -0.479945    -0.441446
        30.4    0.0514398    -0.470907    -0.444416
        30.6    0.0495469    -0.461923    -0.447374
        30.8    0.0475737    -0.453062    -0.450316
          31      0.04556    -0.444271    -0.453251
        31.2    0.0435058    -0.435551     -0.45618
        31.4    0.0413707     -0.42699    -0.459107
        31.6    0.0391967     -0.41852    -0.462048
        31.8    0.0369838    -0.410141    -0.465005
          32    0.0346971    -0.401968    -0.468027
        32.2    0.0323754    -0.393911    -0.471102
        32.4    0.0300187     -0.38597    -0.474229
        32.6    0.0275959    -0.378283    -0.477495
        32.8     0.025142    -0.370736    -0.480851
          33    0.0226571    -0.363329    -0.484296
        33.2    0.0201139    -0.356225    -0.487955
        33.4    0.0175436    -0.349285     -0.49174
        33.6    0.0149461     -0.34251    -0.495651
        33.8    0.0123033     -0.33611    -0.499846
          34   0.00965295     -0.32997    -0.504191
        34.2   0.00699497    -0.324089    -0.508687
        34.4   0.00435699    -0.318896    -0.513495
        34.6   0.00174661     -0.31413    -0.518464
        34.8 -0.000836163    -0.309791    -0.523596
          35  -0.00332851    -0.306474    -0.529063
        35.2  -0.00575803    -0.303751    -0.534704
        35.4  -0.00812472    -0.301623    -0.540518
        35.6   -0.0103306    -0.300852    -0.546692
        35.8   -0.0124383    -0.300843     -0.55305
          36   -0.0144481    -0.301595    -0.559594
        36.2   -0.0162473    -0.303944    -0.566492
        36.4   -0.0179755    -0.306938    -0.573502
        36.6   -0.0196327    -0.310576    -0.580623
        36.8   -0.0212373    -0.315102    -0.587807
          37   -0.0228602    -0.319869    -0.594944
        37.2   -0.0245014    -0.324879    -0.602033
        37.4   -0.0262687    -0.329972    -0.608866
        37.6   -0.0281436    -0.334905    -0.615492
        37.8   -0.0301262    -0.339678    -0.621911
          38   -0.0324134    -0.343729    -0.627755
        38.2   -0.0348977    -0.347219    -0.633233
        38.4   -0.0375789    -0.350146    -0.638343
        38.6   -0.0407275    -0.351652    -0.642596
        38.8   -0.0441146    -0.352511    -0.646429
          39   -0.0477402    -0.352723    -0.649842
        39.2   -0.0518364     -0.35187    -0.652468
        39.4   -0.0561649    -0.350601    -0.654726
        39.6   -0.0607255    -0.348916    -0.656617
        39.8   -0.0657441    -0.346629    -0.657826
          40   -0.0709886    -0.344157    -0.658721
        40.2   -0.0764589    -0.341499    -0.659301
        40.4   -0.0823746    -0.338702    -0.659306
        40.6   -0.0885099    -0.335951    -0.659049
        40.8   -0.0948646    -0.333245     -0.65853
          41     -0.10165    -0.330816    -0.657535
        41.2    -0.108641    -0.328524    -0.656315
        41.4    -0.115839     -0.32637    -0.654868
        41.6     -0.12343    -0.324441    -0.652989
        41.8    -0.131207      -0.3226    -0.650902
          42    -0.139171    -0.320849    -0.648607
        42.2    -0.147488    -0.319226    -0.645917
        42.4    -0.155971    -0.317643    -0.643037
        42.6     -0.16462    -0.316101    -0.639969
        42.8    -0.173583     -0.31459    -0.636542
          43    -0.182692    -0.313071    -0.632945
        43.2    -0.191947    -0.311544    -0.629177
        43.4    -0.201461     -0.30995    -0.625078
        43.6    -0.211057    -0.308292    -0.620798
        43.8    -0.220735    -0.306571    -0.616337
          44    -0.230469    -0.304662    -0.611476
        44.2    -0.240177    -0.302628    -0.606396
        44.4    -0.249859     -0.30047    -0.601095
        44.6     -0.25938    -0.298001    -0.595316
        44.8    -0.268765    -0.295346    -0.589277
          45    -0.278016    -0.292505     -0.58298
        45.2    -0.286889     -0.28923    -0.576125
        45.4    -0.295518    -0.285708    -0.568972
        45.6    -0.303904    -0.281939    -0.561521
        45.8    -0.311693    -0.277616    -0.553446
          46    -0.319126    -0.272994     -0.54507
        46.2    -0.326204    -0.268071    -0.536393
        46.4    -0.332454    -0.262505    -0.527147
        46.6    -0.338232    -0.256596    -0.517632
        46.8    -0.343538    -0.250342    -0.507849
          47    -0.347784    -0.243358    -0.497564
        47.2    -0.351442    -0.235986    -0.487043
        47.4    -0.354512    -0.228227    -0.476288
        47.6     -0.35629    -0.219649    -0.465096
        47.8    -0.357364     -0.21064    -0.453702
          48    -0.357733      -0.2012    -0.442107
        48.2    -0.356633    -0.190932    -0.430155
        48.4    -0.354874    -0.180422    -0.418077
        48.6    -0.352457     -0.16967    -0.405871
        48.8    -0.348933    -0.158858     -0.39353
          49     -0.34496    -0.148226    -0.381178
        49.2    -0.340538    -0.137776    -0.368816
        49.4    -0.335425    -0.128109     -0.35655
        49.6    -0.330072    -0.119046    -0.344392
        49.8    -0.324479    -0.110586     -0.33234
          50    -0.318613    -0.103756    -0.320618
        50.2    -0.312714   -0.0979515     -0.30912
        50.4    -0.306784    -0.093173    -0.297846
        50.6    -0.300948   -0.0907669    -0.287118
        50.8    -0.295135   -0.0895034     -0.27668
          51    -0.289345   -0.0893824    -0.266533
        51.2    -0.283504   -0.0913572    -0.256983
        51.4    -0.277589   -0.0942851    -0.247739
        51.6    -0.271599   -0.0981661    -0.238802
        51.8    -0.265361    -0.103764    -0.230496
          52    -0.258951    -0.110126    -0.222514
        52.2    -0.252369    -0.117252    -0.214854
        52.4    -0.245343    -0.125716    -0.207859
        52.6    -0.238046    -0.134754    -0.201204
        52.8    -0.230479    -0.144367    -0.194889
          53     -0.22233    -0.154915    -0.189262
        53.2    -0.213982    -0.165773    -0.183965
        53.4    -0.205436    -0.176942    -0.178999
        53.6    -0.196736    -0.188395    -0.174654
        53.8     -0.18808     -0.19982    -0.170603
          54    -0.179468    -0.211218    -0.166844
        54.2    -0.171187    -0.222224    -0.163633
        54.4    -0.163192    -0.232863    -0.160677
        54.6    -0.155485    -0.243138    -0.157977
        54.8    -0.148593    -0.252343     -0.15575
          55     -0.14223    -0.260845    -0.153742
        55.2    -0.136397    -0.268644    -0.151951
        55.4    -0.131797     -0.27479    -0.150558
        55.6    -0.127766    -0.280173    -0.149339
        55.8    -0.124304    -0.284793    -0.148294
          56    -0.121818    -0.288103    -0.147548
        56.2    -0.119738    -0.290869    -0.146928
        56.4    -0.118065    -0.293089    -0.146431
        56.6    -0.117042    -0.294436    -0.146135
        56.8    -0.116264    -0.295457    -0.145913
          57    -0.115729     -0.29615    -0.145766
        57.2    -0.115519    -0.296407    -0.145718
        57.4    -0.115391    -0.296555    -0.145696
        57.6    -0.115344    -0.296594    -0.145699
        57.8    -0.115324    -0.296596    -0.145709
          58    -0.115304    -0.296598     -0.14572
        58.2    -0.115284    -0.296601    -0.145731
        58.4    -0.115264    -0.296603    -0.145742
        58.6    -0.115244    -0.296606    -0.145753
        58.8    -0.115224    -0.296608    -0.145763
          59    -0.115205    -0.296611    -0.145774
        59.2    -0.115185    -0.296613    -0.145785
        59.4    -0.115165    -0.296615    -0.145796
        59.6    -0.115145    -0.296618    -0.145807
        59.8    -0.115125     -0.29662    -0.145817
          60    -0.115105    -0.296623    -0.145828
