           0            0            0            0
         0.2            0            0            0
         0.4            0            0            0
         0.6            0            0            0
         0.8            0            0            0
           1            0            0            0
         1.2            0            0            0
         1.4            0            0            0
         1.6            0            0            0
         1.8            0            0            0
           2            0            0            0
         2.2            0            0            0
         2.4            0            0            0
         2.6 -4.33699e-05 -0.000419641 -0.000404941
         2.8 -8.67397e-05 -0.000839281 -0.000809882
           3  -0.00013011  -0.00125892  -0.00121482
         3.2 -0.000173479  -0.00167856  -0.00161976
         3.4 -0.000216849   -0.0020982  -0.00202471
         3.6 -0.000260219  -0.00251784  -0.00242965
         3.8 -0.000303589  -0.00293748  -0.00283459
           4 -0.000346959  -0.00335713  -0.00323953
         4.2 -0.000390329  -0.00377677  -0.00364447
         4.4 -0.000433699  -0.00419641  -0.00404941
         4.6 -0.000477069  -0.00461605  -0.00445435
         4.8 -0.000520438  -0.00503569  -0.00485929
           5 -0.000709169   -0.0047606  -0.00455632
         5.2 -0.000897899  -0.00448551  -0.00425334
         5.4  -0.00108663  -0.00421042  -0.00395036
         5.6  -0.00127536  -0.00393533  -0.00364738
         5.8  -0.00146409  -0.00366024   -0.0033444
           6  -0.00165282  -0.00338515  -0.00304142
         6.2  -0.00184155  -0.00311006  -0.00273844
         6.4  -0.00203028  -0.00283497  -0.00243546
         6.6  -0.00221901  -0.00255988  -0.00213249
         6.8  -0.00240774  -0.00228479  -0.00182951
           7  -0.00259647   -0.0020097  -0.00152653
         7.2   -0.0027852  -0.00173461  -0.00122355
         7.4  -0.00275458  -0.00170559  -0.00125102
         7.6  -0.00272395  -0.00167658   -0.0012785
         7.8  -0.00269332  -0.00164756  -0.00130597
           8   -0.0026627  -0.00161854  -0.00133345
         8.2  -0.00263207  -0.00158952  -0.00136092
         8.4  -0.00260145   -0.0015605   -0.0013884
         8.6  -0.00257082  -0.00153149  -0.00141587
         8.8   -0.0025402  -0.00150247  -0.00144334
           9  -0.00250957  -0.00147345  -0.00147082
         9.2  -0.00247895  -0.00144443  -0.00149829
         9.4  -0.00244832  -0.00141541  -0.00152577
         9.6  -0.00241769   -0.0013864  -0.00155324
         9.8  -0.00225979  -0.00134367  -0.00148156
          10  -0.00210188  -0.00130095  -0.00140987
        10.2  -0.00194397  -0.00125823  -0.00133818
        10.4  -0.00178607  -0.00121551   -0.0012665
        10.6  -0.00162816  -0.00117278  -0.00119481
        10.8  -0.00147025  -0.00113006  -0.00112313
          11  -0.00131235  -0.00108734  -0.00105144
        11.2  -0.00115444  -0.00104462 -0.000979755
        11.4 -0.000996534  -0.00100189  -0.00090807
        11.6 -0.000838628 -0.000959172 -0.000836384
        11.8 -0.000680721 -0.000916449 -0.000764698
          12 -0.000522814 -0.000873727 -0.000693012
        12.2 -0.000436312 -0.000873325 -0.000635957
        12.4 -0.000349811 -0.000872924 -0.000578901
        12.6 -0.000263309 -0.000872522 -0.000521846
        12.8 -0.000176807 -0.000872121  -0.00046479
          13  -9.0305e-05 -0.000871719 -0.000407735
        13.2 -3.80318e-06 -0.000871318 -0.000350679
        13.4  8.26987e-05 -0.000870916 -0.000293623
        13.6  0.000169201 -0.000870514 -0.000236568
        13.8  0.000255702 -0.000870113 -0.000179512
          14  0.000342204 -0.000869711 -0.000122457
        14.2  0.000428706  -0.00086931 -6.54012e-05
        14.4  0.000515208 -0.000868908 -8.34559e-06
        14.6  0.000559309 -0.000868066  7.71594e-06
        14.8  0.000603411 -0.000867224  2.37775e-05
          15  0.000647512 -0.000866381   3.9839e-05
        15.2  0.000691614 -0.000865539  5.59005e-05
        15.4  0.000735715 -0.000864697  7.19621e-05
        15.6  0.000779816 -0.000863855  8.80236e-05
        15.8  0.000823918 -0.000863013  0.000104085
          16  0.000868019  -0.00086217  0.000120147
        16.2  0.000912121 -0.000861328  0.000136208
        16.4  0.000956222 -0.000860486   0.00015227
        16.6   0.00100032 -0.000859644  0.000168331
        16.8   0.00104442 -0.000858801  0.000184393
          17   0.00114526 -0.000831329  0.000254891
        17.2    0.0012461 -0.000803856   0.00032539
        17.4   0.00134693 -0.000776384  0.000395888
        17.6   0.00144777 -0.000748912  0.000466386
        17.8    0.0015486 -0.000721439  0.000536885
          18   0.00164944 -0.000693967  0.000607383
        18.2   0.00175027 -0.000666494  0.000677881
        18.4   0.00185111 -0.000639022   0.00074838
        18.6   0.00195195 -0.000611549  0.000818878
        18.8   0.00205278 -0.000584077  0.000889376
          19   0.00215362 -0.000556604  0.000959875
        19.2   0.00225445 -0.000529132   0.00103037
        19.4   0.00250056 -0.000527928   0.00103176
        19.6   0.00274666 -0.000526724   0.00103315
