           0  9.21006e-06      0.27961 -3.16251e-05     0.960114
         0.2  3.10687e-06    0.0943223  2.66606e-05     0.995542
         0.4 -7.28353e-14  1.31053e-09  3.70513e-05            1
         0.6  1.84758e-36   8.8868e-17 -2.07902e-20            1
         0.8   6.1586e-37   3.2097e-17 -6.93006e-21            1
           1            0  3.71144e-18            0            1
         1.2            0  3.71144e-18            0            1
         1.4  6.43012e-39  3.71144e-18 -1.73251e-21            1
         1.6  9.64518e-39  3.71144e-18 -2.59877e-21            1
         1.8  9.64518e-39  3.71144e-18 -2.59877e-21            1
           2  3.21506e-39 -2.46741e-17 -8.66257e-22            1
         2.2 -4.00988e-38 -1.04813e-17  8.66257e-22            1
         2.4 -1.20296e-37  4.62897e-17  2.59877e-21            1
         2.6  -3.8916e-12 -8.83764e-07 -2.93562e-06            1
         2.8 -9.92295e-11 -3.97684e-06   -1.321e-05            1
           3 -2.86014e-10 -9.27922e-06  -3.0823e-05            1
         3.2 -1.49981e-09 -1.98822e-05 -6.60433e-05            1
         3.4 -4.06627e-09 -3.31327e-05 -0.000110058            1
         3.6 -7.98541e-09 -4.90305e-05 -0.000162866            1
         3.8 -1.71198e-08 -7.02109e-05 -0.000233222            1
           4 -3.05255e-08 -9.40217e-05 -0.000312314            1
         4.2 -4.82026e-08 -0.000120463 -0.000400145            1
         4.4 -7.85434e-08 -0.000152131 -0.000505339            1
         4.6 -1.17655e-07 -0.000186389 -0.000619133            1
         4.8 -1.65536e-07 -0.000223236  -0.00074153            1
           5 -2.32204e-07 -0.000262176 -0.000875715            1
         5.2 -2.99496e-07 -0.000296109  -0.00100533     0.999999
         5.4  -3.6741e-07 -0.000325034  -0.00113037     0.999999
         5.6 -4.24104e-07 -0.000340985  -0.00124117     0.999999
         5.8 -4.71549e-07 -0.000350501  -0.00134493     0.999999
           6 -5.09747e-07  -0.00035358  -0.00144167     0.999999
         6.2 -5.23914e-07 -0.000343899  -0.00152462     0.999999
         6.4 -5.24125e-07 -0.000327892  -0.00160083     0.999999
         6.6 -5.10381e-07 -0.000305561  -0.00167031     0.999999
         6.8 -4.66377e-07 -0.000270672  -0.00172666     0.999998
           7 -4.06769e-07 -0.000229535  -0.00177664     0.999998
         7.2 -3.31558e-07 -0.000182149  -0.00182025     0.999998
         7.4  -2.2994e-07 -0.000124576  -0.00185345     0.999998
         7.6  -1.2444e-07 -6.64788e-05  -0.00188547     0.999998
         7.8 -1.50583e-08 -7.85797e-06   -0.0019163     0.999998
           8  9.74428e-08  4.96039e-05  -0.00194677     0.999998
         8.2  2.11467e-07  0.000106531  -0.00197706     0.999998
         8.4  3.27015e-07  0.000162923  -0.00200718     0.999998
         8.6   4.4555e-07  0.000218327  -0.00203696     0.999998
         8.8  5.65552e-07  0.000273276  -0.00206658     0.999998
           9  6.87022e-07  0.000327771  -0.00209604     0.999998
         9.2  8.11383e-07  0.000381426  -0.00212518     0.999998
         9.4  9.37172e-07  0.000434695  -0.00215417     0.999998
         9.6  1.06439e-06  0.000487577  -0.00218301     0.999997
         9.8  1.19416e-06  0.000539638  -0.00221151     0.999997
          10  1.32465e-06   0.00059109  -0.00223982     0.999997
